model,mean_train_accuracy,mean_val_accuracy,mean_train_recall,mean_val_recall,param_n_estimators
Random Forest,1.0,0.9582417582417584,1.0,0.9352941176470588,50
Random Forest,1.0,0.9604395604395606,1.0,0.9352941176470588,100
Random Forest,1.0,0.9604395604395606,1.0,0.9411764705882353,150
Random Forest,1.0,0.9626373626373628,1.0,0.9470588235294117,200
Random Forest,1.0,0.9626373626373628,1.0,0.9411764705882353,250
Random Forest,1.0,0.964835164835165,1.0,0.9411764705882353,300
Random Forest,1.0,0.9604395604395606,1.0,0.9411764705882353,350
Random Forest,1.0,0.9604395604395606,1.0,0.9411764705882353,400
Random Forest,1.0,0.9604395604395606,1.0,0.9411764705882353,450
Random Forest,1.0,0.9604395604395606,1.0,0.9411764705882353,500
